date,city,avg_temp_f,temp_delta_f,energy_consumption
2025-05-29,New York,42.980000000000004,2.1600000000000037,364646
2025-05-29,New York,42.980000000000004,2.1600000000000037,364267
2025-05-29,New York,42.980000000000004,2.1600000000000037,364022
2025-05-29,New York,42.980000000000004,2.1600000000000037,364482
2025-05-29,New York,42.980000000000004,2.1600000000000037,364646
2025-05-29,New York,42.980000000000004,2.1600000000000037,362740
2025-05-29,New York,42.980000000000004,2.1600000000000037,362423
2025-05-29,New York,42.980000000000004,2.1600000000000037,362187
2025-05-29,New York,42.980000000000004,2.1600000000000037,362599
2025-05-29,New York,42.980000000000004,2.1600000000000037,362740
2025-05-29,New York,42.980000000000004,2.1600000000000037,327000
2025-05-29,New York,42.980000000000004,2.1600000000000037,326771
2025-05-29,New York,42.980000000000004,2.1600000000000037,326927
2025-05-29,New York,42.980000000000004,2.1600000000000037,326598
2025-05-29,New York,42.980000000000004,2.1600000000000037,327000
2025-05-29,New York,42.980000000000004,2.1600000000000037,-37646
2025-05-29,New York,42.980000000000004,2.1600000000000037,-37496
2025-05-29,New York,42.980000000000004,2.1600000000000037,-37095
2025-05-29,New York,42.980000000000004,2.1600000000000037,-37884
2025-05-29,New York,42.980000000000004,2.1600000000000037,-37646
2025-05-30,New York,44.33,2.3400000000000034,365737
2025-05-30,New York,44.33,2.3400000000000034,365159
2025-05-30,New York,44.33,2.3400000000000034,364810
2025-05-30,New York,44.33,2.3400000000000034,365448
2025-05-30,New York,44.33,2.3400000000000034,365737
2025-05-30,New York,44.33,2.3400000000000034,368589
2025-05-30,New York,44.33,2.3400000000000034,368156
2025-05-30,New York,44.33,2.3400000000000034,367902
2025-05-30,New York,44.33,2.3400000000000034,368389
2025-05-30,New York,44.33,2.3400000000000034,368589
2025-05-30,New York,44.33,2.3400000000000034,332475
2025-05-30,New York,44.33,2.3400000000000034,331829
2025-05-30,New York,44.33,2.3400000000000034,331844
2025-05-30,New York,44.33,2.3400000000000034,331931
2025-05-30,New York,44.33,2.3400000000000034,332475
2025-05-30,New York,44.33,2.3400000000000034,-33262
2025-05-30,New York,44.33,2.3400000000000034,-33330
2025-05-30,New York,44.33,2.3400000000000034,-32966
2025-05-30,New York,44.33,2.3400000000000034,-33517
2025-05-30,New York,44.33,2.3400000000000034,-33262
2025-05-31,New York,42.8,2.520000000000003,345111
2025-05-31,New York,42.8,2.520000000000003,346614
2025-05-31,New York,42.8,2.520000000000003,347440
2025-05-31,New York,42.8,2.520000000000003,345847
2025-05-31,New York,42.8,2.520000000000003,345111
2025-05-31,New York,42.8,2.520000000000003,335372
2025-05-31,New York,42.8,2.520000000000003,337135
2025-05-31,New York,42.8,2.520000000000003,338129
2025-05-31,New York,42.8,2.520000000000003,336220
2025-05-31,New York,42.8,2.520000000000003,335372
2025-05-31,New York,42.8,2.520000000000003,310252
2025-05-31,New York,42.8,2.520000000000003,309885
2025-05-31,New York,42.8,2.520000000000003,309826
2025-05-31,New York,42.8,2.520000000000003,310128
2025-05-31,New York,42.8,2.520000000000003,310252
